"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","Num Cands","Num Seats"
"20","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","20.0","1.0"
"11","13","20","18","15","1","3","5","8","19","14","6","17","7","4","12","9","10","2","16","nan","nan"
"2","16","11","4","20","1","5","17","9","3","10","12","19","6","18","13","15","7","8","14","nan","nan"
"11","10","19","20","8","6","3","7","1","15","2","12","18","5","13","9","16","4","14","17","nan","nan"
"18","12","17","10","15","16","6","1","7","19","5","14","8","3","11","9","4","2","13","20","nan","nan"
"1","19","18","15","13","7","12","5","3","14","2","20","10","8","9","4","6","skipped","skipped","skipped","nan","nan"
"3","18","7","8","6","10","5","11","2","1","4","20","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","12","1","2","11","7","4","9","5","8","6","20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","15","19","8","18","3","16","1","17","9","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","9","18","3","6","19","10","8","2","20","14","7","12","11","4","13","5","1","15","16","nan","nan"
"20","14","17","15","1","13","16","4","11","19","18","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","3","14","19","2","8","12","11","4","13","10","20","9","15","5","18","6","7","17","nan","nan"
"10","13","9","15","19","5","2","7","11","12","6","14","18","20","17","3","8","4","1","16","nan","nan"
"12","11","20","1","15","19","8","2","5","14","6","13","17","4","9","18","16","7","3","10","nan","nan"
"3","20","1","4","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","19","17","12","14","18","3","10","5","7","13","9","2","1","11","16","8","15","4","6","nan","nan"
"16","3","17","18","10","19","11","4","12","20","1","14","15","5","6","2","13","skipped","skipped","skipped","nan","nan"
"11","6","14","19","17","20","7","2","13","16","5","8","10","12","9","4","15","1","3","18","nan","nan"
"13","6","15","8","4","10","3","9","11","5","20","14","16","2","18","12","19","7","1","17","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","18","3","7","19","5","8","12","15","2","20","14","9","13","6","11","10","16","17","skipped","nan","nan"
"19","1","2","20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","20","4","10","1","3","9","11","2","5","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","8","15","16","4","10","9","19","3","14","5","6","17","11","2","7","18","skipped","skipped","nan","nan"
"1","13","16","18","9","3","2","17","7","12","14","6","19","15","5","8","11","4","20","skipped","nan","nan"
"13","11","16","10","12","20","1","6","9","3","7","14","4","5","15","2","8","skipped","skipped","skipped","nan","nan"
"20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","3","5","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","8","20","5","7","3","9","1","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","6","20","16","1","19","8","12","17","2","9","5","10","11","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","18","15","5","14","19","1","7","17","11","3","9","4","8","13","10","16","2","6","skipped","nan","nan"
"19","20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","2","18","20","15","10","1","4","17","8","7","3","6","16","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","5","20","3","6","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","2","20","18","3","14","19","1","15","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","7","16","13","17","20","18","19","3","5","4","12","10","1","2","15","8","14","11","6","nan","nan"
"20","1","19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","3","13","6","10","4","1","19","7","2","11","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","1","4","10","5","16","19","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","14","20","4","15","18","2","7","16","3","8","12","9","13","11","6","5","1","10","skipped","nan","nan"
"9","16","14","13","20","18","4","1","7","10","6","12","19","11","8","5","3","2","17","skipped","nan","nan"
"14","12","20","11","18","19","7","3","4","15","6","9","1","5","13","10","16","8","2","17","nan","nan"
"20","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","20","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","9","20","16","7","18","1","13","4","17","2","14","11","8","10","6","12","3","5","15","nan","nan"
"3","16","4","14","19","1","7","10","8","9","15","12","17","18","5","2","6","20","skipped","skipped","nan","nan"
"16","13","20","15","17","4","3","8","1","19","10","11","18","9","7","5","12","2","6","14","nan","nan"
"10","18","14","7","16","8","11","20","1","15","5","17","19","4","6","9","2","3","skipped","skipped","nan","nan"
"20","7","6","8","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","14","4","16","19","1","12","17","7","15","13","8","20","3","9","5","11","6","10","18","nan","nan"
"20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","18","14","19","4","7","13","16","12","9","11","20","1","10","6","17","5","2","15","nan","nan"
"20","4","6","5","7","18","11","16","1","19","9","13","14","15","8","10","3","2","12","17","nan","nan"
"9","4","17","11","18","20","5","13","19","14","10","12","8","6","15","3","1","2","7","16","nan","nan"
"20","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
